SPU,Action,ProductID
MK22659,删除,"16067883215473227043392665"""
MK6630,删除,"16067883736714148591032665"""
MK6630,保留,"16067882813306414532352665"""
MK22825,保留,"16067883234211531823272665"""
MK22825,删除,"16067883221320925200432665"""
MK11338,保留,"16067882874720923648942665"""
MK11338,删除,"16067882862488152148032665"""
MK6515,删除,"16067884306551116105772665"""
MK6515,保留,"16067882820799119200742665"""
MK6515,删除,"16067882798630544837762665"""
MK24027,删除,"16067883863041551908692665"""
MK24027,保留,"16067883749504594750772665"""
MK4569,保留,"16067882801486865867332665"""
MK4569,删除,"16067882800514793482272665"""
MK2840,删除,"16067882811973464244492665"""
MK2840,保留,"16067882795312682125832665"""
MK21941,保留,"16067883859384454850352665"""
MK21941,删除,"16067883743826178713092665"""
MK15711,删除,"16067883740133009665522665"""
MK15711,保留,"16067883201428683983792665"""
MK21498,删除,"16067883735211916667872665"""
MK21498,保留,"16067883265793298768862665"""
MK13103,删除,"16067883271836116423532665"""
MK13103,保留,"16067883204061196950622665"""
MK22821,保留,"16067883227100844365172665"""
MK22821,删除,"16067883217371065718392665"""
MK12150,删除,"16067884048468544073552665"""
MK12150,保留,"16067882876860857549552665"""
MK22227,保留,"16067883861475399278422665"""
MK22227,删除,"16067883739219490255032665"""
MK22657,保留,"16067883219258837581612665"""
MK22657,删除,"16067883214630339711402665"""
MK20849,保留,"16067882875421036872832665"""
MK20849,删除,"16067882874137579371872665"""
MK5540,保留,"16067882806595192591132665"""
MK5540,删除,"16067882799670732234342665"""
MK4151,删除,"16067883751490178267352665"""
MK4151,删除,"16067883744299128422982665"""
MK4151,保留,"16067882823796703900322665"""
MK4151,删除,"16067882799147283095952665"""
MK4130,保留,"16067882808920850268852665"""
MK4130,删除,"16067882802939604997112665"""
MK23025,保留,"16067883223953605938712665"""
MK23025,删除,"16067883223025323053702665"""
MK22929,保留,"16067883220713926004132665"""
MK22929,删除,"16067883218420815641612665"""
MK15672,保留,"16067883747679905219362665"""
MK15672,删除,"16067883731026672850572665"""
MK12413,删除,"16067883738835627557402665"""
MK12413,保留,"16067883267540478041482665"""
MK22925,保留,"16067883231941910043802665"""
MK22925,删除,"16067883227873267384422665"""
MK22987,保留,"16067883228850204674882665"""
MK22987,删除,"16067883218485072864262665"""
MK5578,保留,"16067882822061772000812665"""
MK5578,删除,"16067882803770077188782665"""
MK22550,保留,"16067883225726118805982665"""
MK22550,删除,"16067883212094631289692665"""
MK5434,保留,"16067882812556975811622665"""
MK5434,删除,"16067882798195511143412665"""
MK11345,保留,"16067882873973666453112665"""
MK11345,删除,"16067882863019150554572665"""
MK15504,删除,"16067883743376548835212665"""
MK15504,保留,"16067883730776860099472665"""
MK22661,保留,"16067883228429431614662665"""
MK22661,删除,"16067883214125681055672665"""
MK21267,保留,"16067882874343771840142665"""
MK21267,删除,"16067882869415296861572665"""
MK14857,删除,"16067883862232051235862665"""
MK14857,保留,"16067883741020859937642665"""
MK23016,保留,"16067883231496977789272665"""
MK23016,删除,"16067883215965973391902665"""
MK5909,保留,"16067882826316138425842665"""
MK5909,删除,"16067882817384452426472665"""
MK5909,删除,"16067882801793552893542665"""
MK3688,保留,"16067882807962535214932665"""
MK3688,删除,"16067882798851500297992665"""
MK5457,保留,"16067882819528916176132665"""
MK5457,删除,"16067882810380635836292665"""
MK22792,保留,"16067883231748804283772665"""
MK22792,删除,"16067883221127987213922665"""
MK22917,保留,"16067883234404469328292665"""
MK22917,删除,"16067883221642209365252665"""
MK6498,保留,"16067882813062977134502665"""
MK6498,删除,"16067882811702344429422665"""
MK15172,保留,"16067883742556981840722665"""
